fila;clasificacion;score;zona_excel;marca_excel;rs2;rs1;cod_erp;desc_erp;zona_erp;marca_erp;marca_ok;total
183;FUERTE;96;MARGARITA;SAMSONITE;"PORTAFOLIO GROUP MGTA, C.A";;142;"Portafolio Group MGTA, C.A.2023";MARGARITA;SAMSONITE;SI;405816.15
186;FUERTE;96;MARGARITA;LOLE;"SPORTGEAR MGTA, C.A";;140;"Sportgear Mgta, C.A. 2023";MARGARITA;LOLE;SI;1032494.44
187;FUERTE;96;MARGARITA;LUFIAN;"SPORTLUFI 2023, C.A";;135;"Sportlufi 2023, C.A";MARGARITA;LUFIAN;SI;5877940.64
188;FUERTE;96;MARGARITA;CALVIN KLEIN;"SPORT WEAR GROUP MGTA, C.A";;145;"Sport Wear Group Mgta, C.A.2023";MARGARITA;CALVIN KLEIN;SI;980497.27
189;FUERTE;96;MARGARITA;AMERICAN EAGLE;"SPORTS BRANDS MGTA, C.A";;137;"Sports Brands Mgta, C.A.";MARGARITA;AEO;NO;1827768.86
190;FUERTE;96;MARGARITA;COTTON ON;"SPORTS FOOT MGTA, C.A";;131;"Sports Foot Mgta, C.A.";MARGARITA;COTTON ON;SI;5690270.92
194;FUERTE;96;MARGARITA;ARDENE;"FUTWEAR GROUP MGTA, C.A.";;191;"Futwear Group Mgta, C.A.";MARGARITA;ARDENE;SI;1849274.99
196;FUERTE;96;MARGARITA;KARL LAGERFELD;"INVERSIONES KARLAG LA VELA II, C.A";;236;"INVERSIONES KARLAG LA VELA II, C.A.";MARGARITA;KARL LAGERFELD;SI;971954.81
201;FUERTE;96;MARGARITA;ADMINISTRATIVA;"ADMINISTRACION GD MARGARITA, C.A";"CANALI COLOR SIETE, C.A. (CERRADA EN BANCO)";155;"Administracion GD Margarita, C.A.";MARGARITA;DISTRIBUIDORAS;NO;25732857.91
204;FUERTE;96;MARGARITA;ADMINISTRATIVA;"THA MARGARITA, C.A.";"THA MARGARITA, C.A.";160;"THA MARGARITA, C.A. 2024";MARGARITA;DISTRIBUIDORAS;NO;559914.89
211;FUERTE;96;MARGARITA;FITLAB;"WORKOUT, C.A.";"WORKOUT, C.A.";85;"Workout, C.A.2023";MARGARITA;FITLAB;SI;2200148.68
161;FUERTE;97;CUMANA;ADIDAS;"ADI FO PLC, C.A";"ADICUMANA, C.A.";273;"Adidas Fo Plc, C.A";CUMANA;ADIDAS;SI;3255624.5
76;FUERTE;99;VALENCIA;ADIDAS;"INVERSIONES ADILAND VALENCIA, C.A.";;123;"Inversiones Adi SBL 2023, C.A.";VALENCIA;ADIDAS;SI;1105962.33
2;EXACTA;100;BARQUISIMETO;ADIDAS;"COMERCIAL ADIDAS BARQUISIMETO,C.A.";"ADI DASSLER, C.A. (CERRADA EN BANCO)";120;"Comercial Adiland Bqto, C.A.2023";BARQUISIMETO;SPORTLAND;NO;604306.05
4;EXACTA;100;BARQUISIMETO;CLARKS;"CLARKS BARQUISIMETO,C.A.";"CLARKS BARQUISIMETO,C.A.";69;"Clarks Barquisimeto, C.A. 2023";BARQUISIMETO;CLARKS;SI;183829.78
8;EXACTA;100;BARQUISIMETO;VICTORIA´S SECRET;"COMERCIAL VS BARQUISIMETO,C.A.";"VS BARQUISIMETO, C.A. (CERRADA EN BANCO)";110;"Comercial Vs Bqto, C.A.2023";BARQUISIMETO;VSBA Vsiom;NO;23961.39
9;EXACTA;100;BARQUISIMETO;SPORTLAND;"COMERCIAL ADILAND BARQUISIMETO, C.A.";;120;"Comercial Adiland Bqto, C.A.2023";BARQUISIMETO;SPORTLAND;SI;3232640.18
10;EXACTA;100;BARQUISIMETO;SPORTLAND;"COMERCIAL LARA SPORT 2023, C.A.";;144;"Comercial Lara Sport 2023, C.A.";BARQUISIMETO;SPORTLAND;SI;1797614.22
11;EXACTA;100;BARQUISIMETO;CLARKS;"CLK LAS TRINITARIAS BARQUISIMETO, C.A.";;119;"Clk Las  Trinitarias Bqto, C.A.2023";BARQUISIMETO;CLARKS;SI;422110.35
15;EXACTA;100;BARQUISIMETO;ADIDAS;"ADIDAS FO BQTO, C.A.";;274;"Adidas Fo Bqto, C.A";BARQUISIMETO;ADIDAS;SI;9661488.36
17;EXACTA;100;BARQUISIMETO;ADIDAS;"ADIKIDS BARQUISIMETO, C.A";"ADIKIDS BARQUISIMETO, C.A";305;"Adikids Barquisimeto, C.A.";BARQUISIMETO;ADIDAS;SI;2082296.49
18;EXACTA;100;BARQUISIMETO;VICTORIA´S SECRET;"COMERCIAL VSFA BARQUISIMETO, C.A";"COMERCIAL VSFA BARQUISIMETO, C.A";110;"Comercial Vs Bqto, C.A.2023";BARQUISIMETO;VSBA Vsiom;NO;15711295.41
19;EXACTA;100;BARQUISIMETO;ADIDAS;"ADIORIGINALS BARQUISIMETO, C.A";"ADIKIDS BARQUISIMETO, C.A";306;"Adioriginals Barquisimeto, C.A.";BARQUISIMETO;ADIDAS;SI;385163.17
20;EXACTA;100;BARQUISIMETO;BATH AND BODY WORKS;"COMERCIAL BBW BARQUISIMETO 2025, C.A.";;277;Comercial Bbw Valencia C.A;VALENCIA;BBW;NO;233323.68
23;EXACTA;100;PTO ORDAZ;BATH AND BODY WORKS;"COMERCIAL BRALETTE PZO, C.A";;278;"Comercial Bralette Pzo, C.A";PUERTO ORDAZ;BBW;NO;4334942.06
27;EXACTA;100;PTO ORDAZ;THE CHILDREN´S PLACE;"COMERCIAL CHILDREN´S PZO,C.A.";"JUSTICE PZO, C.A.(CERRADA EN BANCO)";368;"COMERCIAL CHILDREN'S PZO, С.А";;TCP;NO;1215622.24
28;EXACTA;100;PTO ORDAZ;CLARKS;"COMERCIAL NATURE PZO,C.A.";"ORIGINALS GROUP, C.A.(CERRADA EN BANCO)";365;"COMERCIAL NATURE PZO, C.A 2026";;CLARKS;SI;1947555.52
29;EXACTA;100;PTO ORDAZ;REEBOK;"COMERCIAL TRAINING PZO, C.A.";"THA, C.A.(CERRADA EN BANCO)";366;"COMERCIAL TRAINING PZO, C.A";;REEBOK;SI;1038383.56
38;EXACTA;100;MARACAIBO;ADIDAS;"ADIDAS MARACAIBO, C.A";"ADIPERFORMANCE, C.A. (CERRADA EN BANCO)";28;"Adidas Maracaibo, C.A. 2023";MARACAIBO;ADIDAS;SI;8484650.73
